,maintanance_job_code,eo_code,eo_description,eo_main_description,level_1,level_upper,avearage_day_operation_hours,level_1_description
0,100000084396_17,100000084396,Самосвал карьерный 730E-8 №13,Самосвал карьерный 730E-8 №13,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
1,100000084396_18,100000084396,Самосвал карьерный 730E-8 №13,Самосвал карьерный 730E-8 №13,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
2,100000084396_19,100000084396,Самосвал карьерный 730E-8 №13,Самосвал карьерный 730E-8 №13,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
3,100000084396_20,100000084396,Самосвал карьерный 730E-8 №13,Самосвал карьерный 730E-8 №13,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
4,100000084396_21,100000084396,Самосвал карьерный 730E-8 №13,Самосвал карьерный 730E-8 №13,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
5,100000084396_22,100000084396,Самосвал карьерный 730E-8 №13,Самосвал карьерный 730E-8 №13,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
6,100000084396_23,100000084396,Самосвал карьерный 730E-8 №13,Самосвал карьерный 730E-8 №13,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
7,100000084396_24,100000084396,Самосвал карьерный 730E-8 №13,Самосвал карьерный 730E-8 №13,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
8,100000084396_25,100000084396,Самосвал карьерный 730E-8 №13,Самосвал карьерный 730E-8 №13,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
9,100000084396_26,100000084396,Самосвал карьерный 730E-8 №13,Самосвал карьерный 730E-8 №13,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
10,100000084396_27,100000084396,Самосвал карьерный 730E-8 №13,Самосвал карьерный 730E-8 №13,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
11,100000084396_28,100000084396,Самосвал карьерный 730E-8 №13,Самосвал карьерный 730E-8 №13,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
12,100000084396_29,100000084396,Самосвал карьерный 730E-8 №13,Самосвал карьерный 730E-8 №13,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
13,100000084396_30,100000084396,Самосвал карьерный 730E-8 №13,Самосвал карьерный 730E-8 №13,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
14,100000084396_31,100000084396,Самосвал карьерный 730E-8 №13,Самосвал карьерный 730E-8 №13,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
15,100000084396_32,100000084396,Самосвал карьерный 730E-8 №13,Самосвал карьерный 730E-8 №13,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
16,100000084396_33,100000084396,Самосвал карьерный 730E-8 №13,Самосвал карьерный 730E-8 №13,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
17,100000084396_34,100000084396,Самосвал карьерный 730E-8 №13,Самосвал карьерный 730E-8 №13,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
18,100000084396_35,100000084396,Самосвал карьерный 730E-8 №13,Самосвал карьерный 730E-8 №13,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
19,100000084397_17,100000084397,Самосвал карьерный 730E-8 №14,Самосвал карьерный 730E-8 №14,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
20,100000084397_18,100000084397,Самосвал карьерный 730E-8 №14,Самосвал карьерный 730E-8 №14,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
21,100000084397_19,100000084397,Самосвал карьерный 730E-8 №14,Самосвал карьерный 730E-8 №14,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
22,100000084397_20,100000084397,Самосвал карьерный 730E-8 №14,Самосвал карьерный 730E-8 №14,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
23,100000084397_21,100000084397,Самосвал карьерный 730E-8 №14,Самосвал карьерный 730E-8 №14,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
24,100000084397_22,100000084397,Самосвал карьерный 730E-8 №14,Самосвал карьерный 730E-8 №14,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
