,eo_model_id_month_year,eo_model_id,eo_model_name,month_year,"dowtime_plan, hours",calendar_fond,ktg,period,period_sort_index
39,71_1_2023,71,Самосвалы Komatsu HD1500-7,1_2023,961.2,8928.0,0.89,янв 2023,1
15,68_1_2023,68,Самосвалы Komatsu 730E-10,1_2023,1072.5,11160.0,0.9,янв 2023,1
3,65_1_2023,65,Самосвалы CAT 785C,1_2023,3350.56,63984.0,0.95,янв 2023,1
27,69_1_2023,69,Самосвалы Komatsu 730E-8,1_2023,1215.5,12648.0,0.9,янв 2023,1
28,69_2_2023,69,Самосвалы Komatsu 730E-8,2_2023,387.59999999999997,11424.0,0.97,фев 2023,2
40,71_2_2023,71,Самосвалы Komatsu HD1500-7,2_2023,268.8,8064.0,0.97,фев 2023,2
16,68_2_2023,68,Самосвалы Komatsu 730E-10,2_2023,342.0,10080.0,0.97,фев 2023,2
4,65_2_2023,65,Самосвалы CAT 785C,2_2023,4504.68,57792.0,0.92,фев 2023,2
29,69_3_2023,69,Самосвалы Komatsu 730E-8,3_2023,4343.5,12648.0,0.66,мар 2023,3
5,65_3_2023,65,Самосвалы CAT 785C,3_2023,3926.76,63984.0,0.94,мар 2023,3
41,71_3_2023,71,Самосвалы Komatsu HD1500-7,3_2023,1441.2,8928.0,0.84,мар 2023,3
17,68_3_2023,68,Самосвалы Komatsu 730E-10,3_2023,3832.5,11160.0,0.66,мар 2023,3
30,69_4_2023,69,Самосвалы Komatsu 730E-8,4_2023,1346.4,12240.0,0.89,апр 2023,4
42,71_4_2023,71,Самосвалы Komatsu HD1500-7,4_2023,957.5999999999999,8640.0,0.89,апр 2023,4
6,65_4_2023,65,Самосвалы CAT 785C,4_2023,3293.8,61920.0,0.95,апр 2023,4
18,68_4_2023,68,Самосвалы Komatsu 730E-10,4_2023,1188.0,10800.0,0.89,апр 2023,4
7,65_5_2023,65,Самосвалы CAT 785C,5_2023,4674.96,63984.0,0.93,май 2023,5
31,69_5_2023,69,Самосвалы Komatsu 730E-8,5_2023,1473.9,12648.0,0.88,май 2023,5
19,68_5_2023,68,Самосвалы Komatsu 730E-10,5_2023,1300.5,11160.0,0.88,май 2023,5
43,71_5_2023,71,Самосвалы Komatsu HD1500-7,5_2023,999.5999999999999,8928.0,0.89,май 2023,5
20,68_6_2023,68,Самосвалы Komatsu 730E-10,6_2023,3880.5,10800.0,0.64,июн 2023,6
8,65_6_2023,65,Самосвалы CAT 785C,6_2023,6071.6,61920.0,0.9,июн 2023,6
32,69_6_2023,69,Самосвалы Komatsu 730E-8,6_2023,4397.9,12240.0,0.64,июн 2023,6
44,71_6_2023,71,Самосвалы Komatsu HD1500-7,6_2023,1437.6,8640.0,0.83,июн 2023,6
33,69_7_2023,69,Самосвалы Komatsu 730E-8,7_2023,1269.9,12648.0,0.9,июл 2023,7
21,68_7_2023,68,Самосвалы Komatsu 730E-10,7_2023,1120.5,11160.0,0.9,июл 2023,7
9,65_7_2023,65,Самосвалы CAT 785C,7_2023,4554.56,63984.0,0.93,июл 2023,7
45,71_7_2023,71,Самосвалы Komatsu HD1500-7,7_2023,973.2,8928.0,0.89,июл 2023,7
34,69_8_2023,69,Самосвалы Komatsu 730E-8,8_2023,1368.5,12648.0,0.89,авг 2023,8
22,68_8_2023,68,Самосвалы Komatsu 730E-10,8_2023,1207.5,11160.0,0.89,авг 2023,8
10,65_8_2023,65,Самосвалы CAT 785C,8_2023,3470.96,63984.0,0.95,авг 2023,8
46,71_8_2023,71,Самосвалы Komatsu HD1500-7,8_2023,1419.6,8928.0,0.84,авг 2023,8
35,69_9_2023,69,Самосвалы Komatsu 730E-8,9_2023,4525.4,12240.0,0.63,сен 2023,9
23,68_9_2023,68,Самосвалы Komatsu 730E-10,9_2023,3993.0,10800.0,0.63,сен 2023,9
47,71_9_2023,71,Самосвалы Komatsu HD1500-7,9_2023,1437.6,8640.0,0.83,сен 2023,9
11,65_9_2023,65,Самосвалы CAT 785C,9_2023,4059.2000000000003,61920.0,0.93,сен 2023,9
36,71_10_2023,71,Самосвалы Komatsu HD1500-7,10_2023,973.2,8928.0,0.89,окт 2023,10
24,69_10_2023,69,Самосвалы Komatsu 730E-8,10_2023,1235.9,12648.0,0.9,окт 2023,10
12,68_10_2023,68,Самосвалы Komatsu 730E-10,10_2023,1090.5,11160.0,0.9,окт 2023,10
0,65_10_2023,65,Самосвалы CAT 785C,10_2023,4554.56,63984.0,0.93,окт 2023,10
25,69_11_2023,69,Самосвалы Komatsu 730E-8,11_2023,1550.4,12240.0,0.87,ноя 2023,11
37,71_11_2023,71,Самосвалы Komatsu HD1500-7,11_2023,1101.6,8640.0,0.87,ноя 2023,11
13,68_11_2023,68,Самосвалы Komatsu 730E-10,11_2023,1368.0,10800.0,0.87,ноя 2023,11
1,65_11_2023,65,Самосвалы CAT 785C,11_2023,3801.2000000000003,61920.0,0.94,ноя 2023,11
38,71_12_2023,71,Самосвалы Komatsu HD1500-7,12_2023,1323.6,8928.0,0.85,дек 2023,12
14,68_12_2023,68,Самосвалы Komatsu 730E-10,12_2023,3967.5,11160.0,0.64,дек 2023,12
2,65_12_2023,65,Самосвалы CAT 785C,12_2023,5741.360000000001,63984.0,0.91,дек 2023,12
26,69_12_2023,69,Самосвалы Komatsu 730E-8,12_2023,4496.5,12648.0,0.64,дек 2023,12
