,Unnamed: 0,maintanance_job_code,eo_code,interval_motohours,"dowtime_plan, hours",maintanance_datetime,maintanance_date,maintanance_name,year,month,month_year
1431,1431,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2025-12-01 00:00:00,2025-12-01,ЕТО,2025,12,12_2025
1432,1432,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2025-12-02 00:00:00,2025-12-02,ЕТО,2025,12,12_2025
1433,1433,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2025-12-03 00:00:00,2025-12-03,ЕТО,2025,12,12_2025
1434,1434,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2025-12-04 00:00:00,2025-12-04,ЕТО,2025,12,12_2025
1435,1435,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2025-12-05 00:00:00,2025-12-05,ЕТО,2025,12,12_2025
1436,1436,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2025-12-06 00:00:00,2025-12-06,ЕТО,2025,12,12_2025
1437,1437,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2025-12-07 00:00:00,2025-12-07,ЕТО,2025,12,12_2025
1438,1438,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2025-12-08 00:00:00,2025-12-08,ЕТО,2025,12,12_2025
1439,1439,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2025-12-09 00:00:00,2025-12-09,ЕТО,2025,12,12_2025
1440,1440,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2025-12-10 00:00:00,2025-12-10,ЕТО,2025,12,12_2025
1441,1441,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2025-12-11 00:00:00,2025-12-11,ЕТО,2025,12,12_2025
1442,1442,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2025-12-12 00:00:00,2025-12-12,ЕТО,2025,12,12_2025
1443,1443,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2025-12-13 00:00:00,2025-12-13,ЕТО,2025,12,12_2025
1444,1444,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2025-12-14 00:00:00,2025-12-14,ЕТО,2025,12,12_2025
1445,1445,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2025-12-15 00:00:00,2025-12-15,ЕТО,2025,12,12_2025
1446,1446,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2025-12-16 00:00:00,2025-12-16,ЕТО,2025,12,12_2025
1447,1447,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2025-12-17 00:00:00,2025-12-17,ЕТО,2025,12,12_2025
1448,1448,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2025-12-18 00:00:00,2025-12-18,ЕТО,2025,12,12_2025
1449,1449,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2025-12-19 00:00:00,2025-12-19,ЕТО,2025,12,12_2025
1450,1450,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2025-12-20 00:00:00,2025-12-20,ЕТО,2025,12,12_2025
1451,1451,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2025-12-21 00:00:00,2025-12-21,ЕТО,2025,12,12_2025
1452,1452,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2025-12-22 00:00:00,2025-12-22,ЕТО,2025,12,12_2025
1453,1453,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2025-12-23 00:00:00,2025-12-23,ЕТО,2025,12,12_2025
1454,1454,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2025-12-24 00:00:00,2025-12-24,ЕТО,2025,12,12_2025
1455,1455,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2025-12-25 00:00:00,2025-12-25,ЕТО,2025,12,12_2025
1456,1456,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2025-12-26 00:00:00,2025-12-26,ЕТО,2025,12,12_2025
1457,1457,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2025-12-27 00:00:00,2025-12-27,ЕТО,2025,12,12_2025
1458,1458,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2025-12-28 00:00:00,2025-12-28,ЕТО,2025,12,12_2025
1459,1459,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2025-12-29 00:00:00,2025-12-29,ЕТО,2025,12,12_2025
1460,1460,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2025-12-30 00:00:00,2025-12-30,ЕТО,2025,12,12_2025
1461,1461,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2025-12-31 00:00:00,2025-12-31,ЕТО,2025,12,12_2025
1597,1597,100000084384_HD1500-7_TO1,100000084384,250.0,1.0,2025-12-04 09:00:00,2025-12-04,ТО1-250,2025,12,12_2025
1598,1598,100000084384_HD1500-7_TO1,100000084384,250.0,1.0,2025-12-15 00:00:00,2025-12-15,ТО1-250,2025,12,12_2025
1599,1599,100000084384_HD1500-7_TO1,100000084384,250.0,1.0,2025-12-25 15:00:00,2025-12-25,ТО1-250,2025,12,12_2025
1668,1668,100000084384_HD1500-7_TO-2,100000084384,500.0,9.8,2025-12-16 10:00:00,2025-12-16,ТО2-500,2025,12,12_2025
1703,1703,100000084384_HD1500-7_TO-3,100000084384,1000.0,12.0,2025-12-16 10:00:00,2025-12-16,ТО3-1000,2025,12,12_2025
1721,1721,100000084384_HD1500-7_TO-4,100000084384,2000.0,16.0,2025-12-16 18:30:00,2025-12-16,ТО4-2000,2025,12,12_2025
1780,1780,100000084384_HD1500-7_TR,100000084384,660.0,60.0,2025-12-02 06:00:00,2025-12-02,ТР,2025,12,12_2025
1781,1781,100000084384_HD1500-7_TR,100000084384,660.0,60.0,2025-12-30 08:00:00,2025-12-30,ТР,2025,12,12_2025
1819,1819,100000084384_HD1500-7_LINING_PART,100000084384,2000.0,24.0,2025-12-16 18:30:00,2025-12-16,СВч (частичная футеровка),2025,12,12_2025
3255,3255,100000084385_HD1500-7_EO,100000084385,23.7,0.3,2025-12-01 00:00:00,2025-12-01,ЕТО,2025,12,12_2025
3256,3256,100000084385_HD1500-7_EO,100000084385,23.7,0.3,2025-12-02 00:00:00,2025-12-02,ЕТО,2025,12,12_2025
3257,3257,100000084385_HD1500-7_EO,100000084385,23.7,0.3,2025-12-03 00:00:00,2025-12-03,ЕТО,2025,12,12_2025
3258,3258,100000084385_HD1500-7_EO,100000084385,23.7,0.3,2025-12-04 00:00:00,2025-12-04,ЕТО,2025,12,12_2025
3259,3259,100000084385_HD1500-7_EO,100000084385,23.7,0.3,2025-12-05 00:00:00,2025-12-05,ЕТО,2025,12,12_2025
