level_1_description,Название технического места,eo_code,eo_description,mvz,level_2_description,operation_start_date,operation_finish_date,avearage_day_operation_hours
Полюс Вернинское,Выемочно-транспортный участок,100000073790,Бульдозер D9R №1408,1214011123.0,Рудоуправление (Карьер Вернинский),01.01.2022,,22.5
Полюс Вернинское,Самосвалы Komatsu HD1500-8,100000071921,Самосвал карьерный HD1500-8 №1630,1213011320.0,Цех тяжелой техники,01.01.2022,,22.5
Полюс Вернинское,Выемочно-транспортный участок,100000081625,Бульдозер D9R №1409,1214011123.0,Рудоуправление (Карьер Вернинский),01.01.2022,,22.5
Полюс Вернинское,Выемочно-транспортный участок,100000081627,Бульдозер D155A-5 №1411,1214011223.0,Рудоуправление (Карьер Вернинский),01.01.2022,,22.5
Полюс Магадан,Погрузчики фронтальные,100000084440,Погрузчик фронтальный WA500-3A,1444111923.0,Карьер Наталкинский,31.12.1899,,22.5
Полюс Магадан,Автогрейдеры,100000084488,Автогрейдер 16M №3,1444111723.0,Цех автотранспортный,01.07.2022,,22.5
Полюс Магадан,Выемочно-транспортирующие машины,100000084489,Бульдозер гусеничный D375A-6 №16,1414011123.0,Карьер Наталкинский,10.07.2022,,22.5
Полюс Магадан,Станки буровые DML HP,100000084490,Станок буровой DML HP 1450 №14,1411021120.0,Карьер Наталкинский,01.09.2022,,22.5
Полюс Магадан,Станки буровые DML HP,100000084491,Станок буровой DML HP 1450 №15,1411021120.0,Карьер Наталкинский,01.10.2022,,22.5
Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,Самосвал карьерный 730E-10 №37,1413011320.0,Карьер Наталкинский,01.03.2022,,22.5
Полюс Магадан,Самосвалы Komatsu 730E-10,100000084493,Самосвал карьерный 730E-10 №38,1413011320.0,Карьер Наталкинский,01.03.2022,,22.5
Полюс Магадан,Самосвалы Komatsu 730E-10,100000084494,Самосвал карьерный 730E-10 №39,1413011320.0,Карьер Наталкинский,01.03.2022,,22.5
Полюс Магадан,Самосвалы Komatsu 730E-10,100000084495,Самосвал карьерный 730E-10 №40,1413011320.0,Карьер Наталкинский,01.03.2022,,22.5
Полюс Магадан,Самосвалы Komatsu 730E-10,100000084496,Самосвал карьерный 730E-10 №41,1413011320.0,Карьер Наталкинский,01.04.2022,,22.5
Полюс Магадан,Самосвалы Komatsu 730E-10,100000084497,Самосвал карьерный 730E-10 №42,1413011320.0,Карьер Наталкинский,01.04.2022,,22.5
Полюс Магадан,Самосвалы Komatsu 730E-10,100000084498,Самосвал карьерный 730E-10 №43,1413011320.0,Карьер Наталкинский,01.05.2022,,22.5
Полюс Магадан,Самосвалы Komatsu 730E-10,100000084499,Самосвал карьерный 730E-10 №44,1413011320.0,Карьер Наталкинский,01.05.2022,,22.5
Полюс Магадан,Самосвалы Komatsu 730E-10,100000084500,Самосвал карьерный 730E-10 №45,1413011320.0,Карьер Наталкинский,01.06.2022,,22.5
Полюс Магадан,Самосвалы Komatsu 730E-10,100000084501,Самосвал карьерный 730E-10 №46,1413011320.0,Карьер Наталкинский,01.06.2022,,22.5
Полюс Магадан,Самосвалы Komatsu 730E-10,100000084502,Самосвал карьерный 730E-10 №47,1413011320.0,Карьер Наталкинский,01.06.2022,,22.5
Полюс Магадан,Самосвалы Komatsu 730E-10,100000084503,Самосвал карьерный 730E-10 №48,1413011320.0,Карьер Наталкинский,01.06.2022,,22.5
Полюс Магадан,Самосвалы Komatsu 730E-10,100000084504,Самосвал карьерный 730E-10 №49,1413011320.0,Карьер Наталкинский,01.07.2022,,22.5
Полюс Магадан,Самосвалы Komatsu 730E-10,100000084505,Самосвал карьерный 730E-10 №50,1413011320.0,Карьер Наталкинский,01.07.2022,,22.5
Полюс Магадан,Самосвалы Komatsu 730E-10,100000084506,Самосвал карьерный 730E-10 №51,1413011320.0,Карьер Наталкинский,01.07.2022,,22.5
Полюс Магадан,Экскаваторы PH 2300XPC,100000084507,Экскаватор электрический 2300XPC №3,1412011920.0,Карьер Наталкинский,01.09.2022,,22.5
Полюс Магадан,Экскаваторы PH 2300XPC,100000084508,Экскаватор электрический 2300XPC №4,1412011920.0,Карьер Наталкинский,01.10.2022,,22.5
Полюс Магадан,Выемочно-транспортирующие машины,100000084509,Бульдозер колесный WD600-6 №2,1444111423.0,Карьер Наталкинский,01.07.2022,,22.5
Полюс Магадан,Участок открытых горных работ,100000084822,Экскаватор гидравл. R950 №1,1415091125.0,Карьер Наталкинский,01.03.2022,,22.5
Полюс Магадан,Автогрейдеры,100000084823,Автогрейдер 16M №4,1444111723.0,Цех автотранспортный,01.07.2022,,22.5
Полюс Магадан,Выемочно-транспортирующие машины,100000089945,Бульдозер гусеничный D275A-5D №7,1414011223.0,Карьер Наталкинский,01.08.2022,,22.5
Полюс Магадан,Станки буровые SmartROC D65,100000090003,Станок буровой SmartROC D65SF №7,1411021320.0,Карьер Наталкинский,01.08.2022,,22.5
Полюс Магадан,Станки буровые SmartROC D65,100000090004,Станок буровой SmartROC D65SF №8,1411021320.0,Карьер Наталкинский,01.08.2022,,22.5
Полюс Магадан,Станки буровые SmartROC D65,100000090005,Станок буровой SmartROC D65SF №9,1411021320.0,Карьер Наталкинский,01.08.2022,,22.5
Полюс Магадан,Экскаваторы гидравлические,100000090006,Экскаватор гидравл. PC400-7 №5,1412011120.0,Карьер Наталкинский,01.07.2022,,22.5
Полюс Вернинское,Оборудование дорожно-строительное,100000068268,Автогрейдер САТ 140М №1503,1245111823.0,Колонна автотранспорта общего назначения,01.01.2021,,22.5
Полюс Вернинское,Самосвалы БелАЗ-7547,100000068229,Самосвал карьерный БЕЛАЗ-7547 №2443,1245112123.0,Колонна автотранспорта общего назначения,01.01.2021,,22.5
Полюс Вернинское,Самосвалы БелАЗ-7547,100000068227,Самосвал карьерный БЕЛАЗ-7547 №2441,1245112123.0,Колонна автотранспорта общего назначения,01.01.2021,,22.5
Полюс Вернинское,Самосвалы БелАЗ-7547,100000068228,Самосвал карьерный БЕЛАЗ-7547 №2442,1245112123.0,Колонна автотранспорта общего назначения,01.02.2021,,22.5
Полюс Вернинское,Самосвалы БелАЗ-7547,100000068231,Самосвал карьерный БЕЛАЗ-7547 №2445,1245112123.0,Колонна автотранспорта общего назначения,01.01.2021,,22.5
Полюс Вернинское,Самосвалы БелАЗ-7547,100000068232,Самосвал карьерный БЕЛАЗ-7547 №2446,1245112123.0,Колонна автотранспорта общего назначения,01.02.2021,,22.5
Полюс Вернинское,Самосвалы БелАЗ-7547,100000068230,Самосвал карьерный БЕЛАЗ-7547 №2444,1245112123.0,Колонна автотранспорта общего назначения,01.01.2021,,22.5
Олимпиадинский ГОК,Экскаваторы ЭКГ-10,100000043583,ЭД асинх,1112011420.0,Рудоуправление,01.09.1996,,22.5
Олимпиадинский ГОК,Экскаваторы ЭКГ-10,100000062743,Экскаватор электрический ЭКГ-10 №02,1112011420.0,Рудоуправление,01.09.1996,,22.5
Олимпиадинский ГОК,Экскаваторы ЭКГ-10,100000043608,ЭД асинх,1112011420.0,Рудоуправление,14.09.2021,,22.5
Олимпиадинский ГОК,Экскаваторы ЭКГ-10,100000043632,ЭД асинх,1112011420.0,Рудоуправление,14.09.2021,,22.5
Олимпиадинский ГОК,Экскаваторы ЭКГ-10,100000062744,Экскаватор электрический ЭКГ-10 №08,1112011420.0,Рудоуправление,01.04.1998,,22.5
Олимпиадинский ГОК,Экскаваторы ЭКГ-10,100000043277,Генератор постоянного тока,1112011420.0,Рудоуправление,01.04.1998,,22.5
Олимпиадинский ГОК,Экскаваторы ЭКГ-10,100000043609,ЭД асинх,1112011420.0,Рудоуправление,01.04.1998,,22.5
Олимпиадинский ГОК,Экскаваторы ЭКГ-10,100000062745,Экскаватор электрический ЭКГ-10 №09,1112011420.0,Рудоуправление,01.04.1998,,22.5
Олимпиадинский ГОК,Экскаваторы ЭКГ-10,100000043279,Генератор постоянного тока,1112011420.0,Рудоуправление,01.04.1999,,22.5
Олимпиадинский ГОК,Экскаваторы ЭКГ-10,100000043306,Генератор привода поворота,1112011420.0,Рудоуправление,01.04.1999,,22.5
