,eo_maintanance_job_code,maintanance_code,eo_code,eo_main_class_code_x,eo_description_x,maintanance_name,interval_motohours,downtime_planned,Unnamed: 0_x,last_maintanance_date,Unnamed: 0_y,eo_description_y,teh_mesto,mvz,eo_class_code,eo_class_description,eo_main_code,eo_main_description,eo_main_class_code_y,eo_main_class_description,teh_mesto_description,level_upper,code,level_1,level_1_code,level_2_code,level_2_path,level_3_code,level_5,level_6,level_7,level_8,first_day_of_operation,last_day_of_opearation,avearage_day_operation_hours
0,100000084396_17,730E-8_EO,100000084396,E01_01,Самосвал карьерный 730E-8 №13,ЕТО,24,0.3,0,31.12.2022,86995,Самосвал карьерный 730E-8 №13,05-KAR-UTTR-K801,1413011320.0,E01_01,Самосвалы карьерные,100000084396,Самосвал карьерный 730E-8 №13,E01_01,Самосвалы карьерные,Самосвал карьерный №13,05-KAR-UTTR-K738,first05-KAR-UTTR-K801,first05,05,KAR,05-KAR,UTTR,-,UTTR,K801,no_data,2020-01-01,2030-01-01,23.5
1,100000084396_18,730E-8_ТО1-250,100000084396,E01_01,Самосвал карьерный 730E-8 №13,ТО1-250,250,1.2,1,31.12.2022,86995,Самосвал карьерный 730E-8 №13,05-KAR-UTTR-K801,1413011320.0,E01_01,Самосвалы карьерные,100000084396,Самосвал карьерный 730E-8 №13,E01_01,Самосвалы карьерные,Самосвал карьерный №13,05-KAR-UTTR-K738,first05-KAR-UTTR-K801,first05,05,KAR,05-KAR,UTTR,-,UTTR,K801,no_data,2020-01-01,2030-01-01,23.5
2,100000084396_19,730E-8_ТО2-500,100000084396,E01_01,Самосвал карьерный 730E-8 №13,ТО2-500,500,11.0,2,31.12.2022,86995,Самосвал карьерный 730E-8 №13,05-KAR-UTTR-K801,1413011320.0,E01_01,Самосвалы карьерные,100000084396,Самосвал карьерный 730E-8 №13,E01_01,Самосвалы карьерные,Самосвал карьерный №13,05-KAR-UTTR-K738,first05-KAR-UTTR-K801,first05,05,KAR,05-KAR,UTTR,-,UTTR,K801,no_data,2020-01-01,2030-01-01,23.5
3,100000084396_20,730E-8_ТО3-1000,100000084396,E01_01,Самосвал карьерный 730E-8 №13,ТО3-1000,1000,12.0,3,31.12.2022,86995,Самосвал карьерный 730E-8 №13,05-KAR-UTTR-K801,1413011320.0,E01_01,Самосвалы карьерные,100000084396,Самосвал карьерный 730E-8 №13,E01_01,Самосвалы карьерные,Самосвал карьерный №13,05-KAR-UTTR-K738,first05-KAR-UTTR-K801,first05,05,KAR,05-KAR,UTTR,-,UTTR,K801,no_data,2020-01-01,2030-01-01,23.5
4,100000084396_21,730E-8_ТО4-1500,100000084396,E01_01,Самосвал карьерный 730E-8 №13,ТО4-1500,1500,13.0,4,31.12.2022,86995,Самосвал карьерный 730E-8 №13,05-KAR-UTTR-K801,1413011320.0,E01_01,Самосвалы карьерные,100000084396,Самосвал карьерный 730E-8 №13,E01_01,Самосвалы карьерные,Самосвал карьерный №13,05-KAR-UTTR-K738,first05-KAR-UTTR-K801,first05,05,KAR,05-KAR,UTTR,-,UTTR,K801,no_data,2020-01-01,2030-01-01,23.5
5,100000084396_22,730E-8_ТО5-2000,100000084396,E01_01,Самосвал карьерный 730E-8 №13,ТО5-2000,2000,14.0,5,31.12.2022,86995,Самосвал карьерный 730E-8 №13,05-KAR-UTTR-K801,1413011320.0,E01_01,Самосвалы карьерные,100000084396,Самосвал карьерный 730E-8 №13,E01_01,Самосвалы карьерные,Самосвал карьерный №13,05-KAR-UTTR-K738,first05-KAR-UTTR-K801,first05,05,KAR,05-KAR,UTTR,-,UTTR,K801,no_data,2020-01-01,2030-01-01,23.5
6,100000084396_23,730E-8_ТО6-2500,100000084396,E01_01,Самосвал карьерный 730E-8 №13,ТО6-2500,2500,19.0,6,31.12.2022,86995,Самосвал карьерный 730E-8 №13,05-KAR-UTTR-K801,1413011320.0,E01_01,Самосвалы карьерные,100000084396,Самосвал карьерный 730E-8 №13,E01_01,Самосвалы карьерные,Самосвал карьерный №13,05-KAR-UTTR-K738,first05-KAR-UTTR-K801,first05,05,KAR,05-KAR,UTTR,-,UTTR,K801,no_data,2020-01-01,2030-01-01,23.5
7,100000084396_24,730E-8_ТО7-4000,100000084396,E01_01,Самосвал карьерный 730E-8 №13,ТО7-4000,4000,19.5,7,31.12.2022,86995,Самосвал карьерный 730E-8 №13,05-KAR-UTTR-K801,1413011320.0,E01_01,Самосвалы карьерные,100000084396,Самосвал карьерный 730E-8 №13,E01_01,Самосвалы карьерные,Самосвал карьерный №13,05-KAR-UTTR-K738,first05-KAR-UTTR-K801,first05,05,KAR,05-KAR,UTTR,-,UTTR,K801,no_data,2020-01-01,2030-01-01,23.5
8,100000084396_25,730E-8_ТО8-5000,100000084396,E01_01,Самосвал карьерный 730E-8 №13,ТО8-5000,5000,20.0,8,31.12.2022,86995,Самосвал карьерный 730E-8 №13,05-KAR-UTTR-K801,1413011320.0,E01_01,Самосвалы карьерные,100000084396,Самосвал карьерный 730E-8 №13,E01_01,Самосвалы карьерные,Самосвал карьерный №13,05-KAR-UTTR-K738,first05-KAR-UTTR-K801,first05,05,KAR,05-KAR,UTTR,-,UTTR,K801,no_data,2020-01-01,2030-01-01,23.5
9,100000084396_26,730E-8_ТО9-8000,100000084396,E01_01,Самосвал карьерный 730E-8 №13,ТО9-8000,8000,23.0,9,31.12.2022,86995,Самосвал карьерный 730E-8 №13,05-KAR-UTTR-K801,1413011320.0,E01_01,Самосвалы карьерные,100000084396,Самосвал карьерный 730E-8 №13,E01_01,Самосвалы карьерные,Самосвал карьерный №13,05-KAR-UTTR-K738,first05-KAR-UTTR-K801,first05,05,KAR,05-KAR,UTTR,-,UTTR,K801,no_data,2020-01-01,2030-01-01,23.5
10,100000084396_27,730E-8_ТО10-10000,100000084396,E01_01,Самосвал карьерный 730E-8 №13,ТО10-10000,10000,24.0,10,31.12.2022,86995,Самосвал карьерный 730E-8 №13,05-KAR-UTTR-K801,1413011320.0,E01_01,Самосвалы карьерные,100000084396,Самосвал карьерный 730E-8 №13,E01_01,Самосвалы карьерные,Самосвал карьерный №13,05-KAR-UTTR-K738,first05-KAR-UTTR-K801,first05,05,KAR,05-KAR,UTTR,-,UTTR,K801,no_data,2020-01-01,2030-01-01,23.5
11,100000084396_28,730E-8_ТР,100000084396,E01_01,Самосвал карьерный 730E-8 №13,ТР,660,50.0,11,31.12.2022,86995,Самосвал карьерный 730E-8 №13,05-KAR-UTTR-K801,1413011320.0,E01_01,Самосвалы карьерные,100000084396,Самосвал карьерный 730E-8 №13,E01_01,Самосвалы карьерные,Самосвал карьерный №13,05-KAR-UTTR-K738,first05-KAR-UTTR-K801,first05,05,KAR,05-KAR,UTTR,-,UTTR,K801,no_data,2020-01-01,2030-01-01,23.5
12,100000084396_29,730E-8_Кдвс (Замена),100000084396,E01_01,Самосвал карьерный 730E-8 №13,Кдвс (Замена),22000,168.0,12,31.12.2022,86995,Самосвал карьерный 730E-8 №13,05-KAR-UTTR-K801,1413011320.0,E01_01,Самосвалы карьерные,100000084396,Самосвал карьерный 730E-8 №13,E01_01,Самосвалы карьерные,Самосвал карьерный №13,05-KAR-UTTR-K738,first05-KAR-UTTR-K801,first05,05,KAR,05-KAR,UTTR,-,UTTR,K801,no_data,2020-01-01,2030-01-01,23.5
13,100000084396_30,730E-8_Кген(Замена),100000084396,E01_01,Самосвал карьерный 730E-8 №13,Кген(Замена),19000,120.0,13,31.12.2022,86995,Самосвал карьерный 730E-8 №13,05-KAR-UTTR-K801,1413011320.0,E01_01,Самосвалы карьерные,100000084396,Самосвал карьерный 730E-8 №13,E01_01,Самосвалы карьерные,Самосвал карьерный №13,05-KAR-UTTR-K738,first05-KAR-UTTR-K801,first05,05,KAR,05-KAR,UTTR,-,UTTR,K801,no_data,2020-01-01,2030-01-01,23.5
14,100000084396_31,730E-8_Кмк (Замена),100000084396,E01_01,Самосвал карьерный 730E-8 №13,Кмк (Замена),22000,96.0,14,31.12.2022,86995,Самосвал карьерный 730E-8 №13,05-KAR-UTTR-K801,1413011320.0,E01_01,Самосвалы карьерные,100000084396,Самосвал карьерный 730E-8 №13,E01_01,Самосвалы карьерные,Самосвал карьерный №13,05-KAR-UTTR-K738,first05-KAR-UTTR-K801,first05,05,KAR,05-KAR,UTTR,-,UTTR,K801,no_data,2020-01-01,2030-01-01,23.5
15,100000084396_32,730E-8_ТРмо (Замена),100000084396,E01_01,Самосвал карьерный 730E-8 №13,ТРмо (Замена),16000,24.0,15,31.12.2022,86995,Самосвал карьерный 730E-8 №13,05-KAR-UTTR-K801,1413011320.0,E01_01,Самосвалы карьерные,100000084396,Самосвал карьерный 730E-8 №13,E01_01,Самосвалы карьерные,Самосвал карьерный №13,05-KAR-UTTR-K738,first05-KAR-UTTR-K801,first05,05,KAR,05-KAR,UTTR,-,UTTR,K801,no_data,2020-01-01,2030-01-01,23.5
16,100000084396_33,730E-8_ТР Подвески,100000084396,E01_01,Самосвал карьерный 730E-8 №13,ТР Подвески,1800,144.0,16,31.12.2022,86995,Самосвал карьерный 730E-8 №13,05-KAR-UTTR-K801,1413011320.0,E01_01,Самосвалы карьерные,100000084396,Самосвал карьерный 730E-8 №13,E01_01,Самосвалы карьерные,Самосвал карьерный №13,05-KAR-UTTR-K738,first05-KAR-UTTR-K801,first05,05,KAR,05-KAR,UTTR,-,UTTR,K801,no_data,2020-01-01,2030-01-01,23.5
17,100000084396_34,730E-8_СВч (частичная футеровка),100000084396,E01_01,Самосвал карьерный 730E-8 №13,СВч (частичная футеровка),2000,24.0,17,31.12.2022,86995,Самосвал карьерный 730E-8 №13,05-KAR-UTTR-K801,1413011320.0,E01_01,Самосвалы карьерные,100000084396,Самосвал карьерный 730E-8 №13,E01_01,Самосвалы карьерные,Самосвал карьерный №13,05-KAR-UTTR-K738,first05-KAR-UTTR-K801,first05,05,KAR,05-KAR,UTTR,-,UTTR,K801,no_data,2020-01-01,2030-01-01,23.5
