eo_maintanance_job_code,eo_code,eo_description,maintanance_name,interval_motohours,"dowtime_plan, hours",avearage_day_operation_hours,last_maintanance_date
100000084396_730E-8_EO,100000084396,Самосвал карьерный 730E-8 №13,ЕТО,24,"0,3",23.5,
100000084396_730E-8_ТО1-250,100000084396,Самосвал карьерный 730E-8 №13,ТО1-250,250,"1,2",23.5,
100000084396_730E-8_ТО2-500,100000084396,Самосвал карьерный 730E-8 №13,ТО2-500,500,11,23.5,
100000084396_730E-8_ТО3-1000,100000084396,Самосвал карьерный 730E-8 №13,ТО3-1000,1000,12,23.5,
100000084396_730E-8_ТО4-1500,100000084396,Самосвал карьерный 730E-8 №13,ТО4-1500,1500,13,23.5,
100000084396_730E-8_ТО5-2000,100000084396,Самосвал карьерный 730E-8 №13,ТО5-2000,2000,14,23.5,
100000084396_730E-8_ТО6-2500,100000084396,Самосвал карьерный 730E-8 №13,ТО6-2500,2500,19,23.5,
100000084396_730E-8_ТО7-4000,100000084396,Самосвал карьерный 730E-8 №13,ТО7-4000,4000,"19,5",23.5,
100000084396_730E-8_ТО8-5000,100000084396,Самосвал карьерный 730E-8 №13,ТО8-5000,5000,20,23.5,
100000084396_730E-8_ТО9-8000,100000084396,Самосвал карьерный 730E-8 №13,ТО9-8000,8000,23,23.5,
100000084396_730E-8_ТО10-10000,100000084396,Самосвал карьерный 730E-8 №13,ТО10-10000,10000,24,23.5,
100000084396_730E-8_ТР,100000084396,Самосвал карьерный 730E-8 №13,ТР,660,50,23.5,
100000084396_730E-8_Кдвс (Замена),100000084396,Самосвал карьерный 730E-8 №13,Кдвс (Замена),22000,168,23.5,
100000084396_730E-8_Кген(Замена),100000084396,Самосвал карьерный 730E-8 №13,Кген(Замена),19000,120,23.5,
100000084396_730E-8_Кмк (Замена),100000084396,Самосвал карьерный 730E-8 №13,Кмк (Замена),22000,96,23.5,
100000084396_730E-8_ТРмо (Замена),100000084396,Самосвал карьерный 730E-8 №13,ТРмо (Замена),16000,24,23.5,
100000084396_730E-8_ТР Подвески,100000084396,Самосвал карьерный 730E-8 №13,ТР Подвески,1800,144,23.5,
100000084396_730E-8_СВч (частичная футеровка),100000084396,Самосвал карьерный 730E-8 №13,СВч (частичная футеровка),2000,24,23.5,
100000084396_730E-8_СВп (полная футеровка),100000084396,Самосвал карьерный 730E-8 №13,СВп (полная футеровка),10000,36,23.5,
100000084397_730E-8_EO,100000084397,Самосвал карьерный 730E-8 №14,ЕТО,24,"0,3",23.5,
100000084397_730E-8_ТО1-250,100000084397,Самосвал карьерный 730E-8 №14,ТО1-250,250,"1,2",23.5,
100000084397_730E-8_ТО2-500,100000084397,Самосвал карьерный 730E-8 №14,ТО2-500,500,11,23.5,
100000084397_730E-8_ТО3-1000,100000084397,Самосвал карьерный 730E-8 №14,ТО3-1000,1000,12,23.5,
100000084397_730E-8_ТО4-1500,100000084397,Самосвал карьерный 730E-8 №14,ТО4-1500,1500,13,23.5,
100000084397_730E-8_ТО5-2000,100000084397,Самосвал карьерный 730E-8 №14,ТО5-2000,2000,14,23.5,
100000084397_730E-8_ТО6-2500,100000084397,Самосвал карьерный 730E-8 №14,ТО6-2500,2500,19,23.5,
100000084397_730E-8_ТО7-4000,100000084397,Самосвал карьерный 730E-8 №14,ТО7-4000,4000,"19,5",23.5,
100000084397_730E-8_ТО8-5000,100000084397,Самосвал карьерный 730E-8 №14,ТО8-5000,5000,20,23.5,
100000084397_730E-8_ТО9-8000,100000084397,Самосвал карьерный 730E-8 №14,ТО9-8000,8000,23,23.5,
100000084397_730E-8_ТО10-10000,100000084397,Самосвал карьерный 730E-8 №14,ТО10-10000,10000,24,23.5,
100000084397_730E-8_ТР,100000084397,Самосвал карьерный 730E-8 №14,ТР,660,50,23.5,
100000084397_730E-8_Кдвс (Замена),100000084397,Самосвал карьерный 730E-8 №14,Кдвс (Замена),22000,168,23.5,
100000084397_730E-8_Кген(Замена),100000084397,Самосвал карьерный 730E-8 №14,Кген(Замена),19000,120,23.5,
100000084397_730E-8_Кмк (Замена),100000084397,Самосвал карьерный 730E-8 №14,Кмк (Замена),22000,96,23.5,
100000084397_730E-8_ТРмо (Замена),100000084397,Самосвал карьерный 730E-8 №14,ТРмо (Замена),16000,24,23.5,
100000084397_730E-8_ТР Подвески,100000084397,Самосвал карьерный 730E-8 №14,ТР Подвески,1800,144,23.5,
100000084397_730E-8_СВч (частичная футеровка),100000084397,Самосвал карьерный 730E-8 №14,СВч (частичная футеровка),2000,24,23.5,
100000084397_730E-8_СВп (полная футеровка),100000084397,Самосвал карьерный 730E-8 №14,СВп (полная футеровка),10000,36,23.5,
100000084398_730E-8_EO,100000084398,Самосвал карьерный 730E-8 №15,ЕТО,24,"0,3",23.5,
100000084398_730E-8_ТО1-250,100000084398,Самосвал карьерный 730E-8 №15,ТО1-250,250,"1,2",23.5,
100000084398_730E-8_ТО2-500,100000084398,Самосвал карьерный 730E-8 №15,ТО2-500,500,11,23.5,
100000084398_730E-8_ТО3-1000,100000084398,Самосвал карьерный 730E-8 №15,ТО3-1000,1000,12,23.5,
100000084398_730E-8_ТО4-1500,100000084398,Самосвал карьерный 730E-8 №15,ТО4-1500,1500,13,23.5,
100000084398_730E-8_ТО5-2000,100000084398,Самосвал карьерный 730E-8 №15,ТО5-2000,2000,14,23.5,
100000084398_730E-8_ТО6-2500,100000084398,Самосвал карьерный 730E-8 №15,ТО6-2500,2500,19,23.5,
100000084398_730E-8_ТО7-4000,100000084398,Самосвал карьерный 730E-8 №15,ТО7-4000,4000,"19,5",23.5,
100000084398_730E-8_ТО8-5000,100000084398,Самосвал карьерный 730E-8 №15,ТО8-5000,5000,20,23.5,
100000084398_730E-8_ТО9-8000,100000084398,Самосвал карьерный 730E-8 №15,ТО9-8000,8000,23,23.5,
100000084398_730E-8_ТО10-10000,100000084398,Самосвал карьерный 730E-8 №15,ТО10-10000,10000,24,23.5,
100000084398_730E-8_ТР,100000084398,Самосвал карьерный 730E-8 №15,ТР,660,50,23.5,
100000084398_730E-8_Кдвс (Замена),100000084398,Самосвал карьерный 730E-8 №15,Кдвс (Замена),22000,168,23.5,
100000084398_730E-8_Кген(Замена),100000084398,Самосвал карьерный 730E-8 №15,Кген(Замена),19000,120,23.5,
100000084398_730E-8_Кмк (Замена),100000084398,Самосвал карьерный 730E-8 №15,Кмк (Замена),22000,96,23.5,
100000084398_730E-8_ТРмо (Замена),100000084398,Самосвал карьерный 730E-8 №15,ТРмо (Замена),16000,24,23.5,
100000084398_730E-8_ТР Подвески,100000084398,Самосвал карьерный 730E-8 №15,ТР Подвески,1800,144,23.5,
100000084398_730E-8_СВч (частичная футеровка),100000084398,Самосвал карьерный 730E-8 №15,СВч (частичная футеровка),2000,24,23.5,
100000084398_730E-8_СВп (полная футеровка),100000084398,Самосвал карьерный 730E-8 №15,СВп (полная футеровка),10000,36,23.5,
100000084399_730E-8_EO,100000084399,Самосвал карьерный 730E-8 №16,ЕТО,24,"0,3",23.5,
100000084399_730E-8_ТО1-250,100000084399,Самосвал карьерный 730E-8 №16,ТО1-250,250,"1,2",23.5,
100000084399_730E-8_ТО2-500,100000084399,Самосвал карьерный 730E-8 №16,ТО2-500,500,11,23.5,
100000084399_730E-8_ТО3-1000,100000084399,Самосвал карьерный 730E-8 №16,ТО3-1000,1000,12,23.5,
