eo_model_id,eo_model_name
1,Автогрейдер 160AWD
2,Автогрейдер 160M
3,Автогрейдер 16M
4,Автогрейдер 18M3
5,Автогрейдер 24M
6,Автогрейдер ГС-25
7,Автогрейдер ДЗ-98
8,Автогрейдер САТ 140М
9,Автогрейдер GD825A-2
10,Автогрейдер TG230A
11,Бульдозер гусеничный D275A-5D
12,Бульдозер гусеничный D375A-5D
13,Бульдозер гусеничный D375A-6
14,Бульдозер гусеничный D65PX
15,Бульдозер гусеничный D6R
16,Бульдозер К-702МБА
17,Бульдозер К-703МА
18,Бульдозер колесный WD600-6
19,Бульдозер Т-11
20,Бульдозер D11R
21,Бульдозер D155A-5
22,Бульдозер D275A-5
23,Бульдозер D375А-6
24,Бульдозер D375A-5
25,Бульдозер D475A-5
26,Бульдозер D63E
27,Бульдозер D65EX
28,Бульдозер D6R
29,Бульдозер D85EХ
30,Бульдозер D85ESS
31,Бульдозер D9R
32,Бульдозер WD600-10
33,Бульдозер WD600-3
34,Бульдозер WD600-6
35,Бульдозер WD600-7
36,Бульдозер WD600-8
37,Бульдозер WD600-9
38,Машина многоцел МКСМ
39,Погрузчик фронтальный 966H
40,Погрузчик фронтальный 980H
41,Погрузчик фронтальный 992K
42,Погрузчик фронтальный 994H
43,Погрузчик фронтальный 994K
44,Погрузчик фронтальный Dressta 534C
45,Погрузчик фронтальный HL780-9S
46,Погрузчик фронтальный WA200-5
47,Погрузчик фронтальный WA430-6
48,Погрузчик фронтальный WA470-6
49,Погрузчик фронтальный WA500-3
50,Погрузчик фронтальный WA500-6
51,Погрузчик фронтальный WA600-3
52,Погрузчик фронтальный WA600-6
53,Погрузчик фронтальный WA600-7
54,Погрузчик фронтальный WA600-8
55,Погрузчик фронтальный WA600-9
56,Погрузчик фронтальный WA800-3
57,Погрузчик фронтальный WA900-3
58,Погрузчик фронтальный WA900-3HL
59,Погрузчик WA600-6
60,Самосвалы БелАЗ-75182
61,Самосвалы БелАЗ-7540
62,Самосвалы БелАЗ-7547
63,Самосвалы CAT 777E
64,Самосвалы CAT 777F
65,Самосвалы CAT 785C
66,Самосвалы CAT 789D
67,Самосвалы CAT 793D
68,Самосвалы Komatsu 730E-10
69,Самосвалы Komatsu 730E-8
70,Самосвалы Komatsu 830E-1AC
71,Самосвалы Komatsu HD1500-7
72,Самосвалы Komatsu HD1500-8
73,Самосвалы Komatsu HD785-5
74,Самосвалы Komatsu HD785-7
75,Специальн машина К-703МА
76,Станки буровые СБШ-250
77,Станки буровые DE810
78,Станки буровые DML LP
79,Станки буровые PV-235
80,Станки буровые PV-351
81,Станки буровые ROC D65
82,Станки буровые SmartROC D65
83,Станок буровой CM785D
84,Станок буровой DM 45LP
85,Станок буровой DML HP 1450
86,Станок буровой FlexiROC D65
87,Станок буровой FlexiROC D66
88,Станок буровой FlexiROC D67
89,Станок буровой FlexiROC D68
90,Станок буровой FlexiROC D69
91,Станок буровой FlexiROC D70
92,Станок буровой FlexiROC D71
93,Станок буровой FlexiROC D72
94,Станок буровой PV-271
95,Установка буровая БКМ-534
96,Установка буровая БМ-83
97,Установка буровая УРБ-2А2
98,Установка буровая CS10
99,Установка буровая CS1000
100,Установка буровая CS14
101,Установка буровая PS1000
102,Экскаватор гидравл. ЕК 270LC
103,Экскаватор гидравл. ЕК 450FS
104,Экскаватор гидравл. Liebherr R950
105,Экскаватор гидравл. Liebherr R974
106,Экскаватор гидравл. PC1250SP-8
107,Экскаватор гидравл. PC2000-8
108,Экскаватор гидравл. PC220-8
109,Экскаватор гидравл. PC400-7
110,Экскаватор гидравл. PC4000-6
111,Экскаватор гидравл. PC400LC-7
112,Экскаватор гидравл. PC750-7
113,Экскаватор гидравл. WX 200
114,Экскаватор PC1250-8
115,Экскаватор PC400-7
116,Экскаватор-погрузчик TLB 825
117,Экскаваторы ЭКГ-10
118,Экскаваторы ЭКГ-18
119,Экскаваторы ЭКГ-20
120,Экскаваторы ЭКГ-5А
121,Экскаваторы PC1250-7
122,Экскаваторы PC1250-8
123,Экскаваторы PC3000-6
124,Экскаваторы PH 2300XPC
125,Экскаваторы WK-20
126,Экскаваторы WK-35
