eo_code,eo_model_name,eo_model_id,strategy_id,eo_description,teh_mesto,mvz,eo_class_code,eo_class_description,eo_main_code,eo_main_description,eo_main_class_code,eo_main_class_description,teh_mesto_description,level_upper,code,level_1,level_1_code,level_2_code,level_2_path,level_3_code,level_5,level_6,level_7,level_8,valid_from,operation_start_date,avearage_day_operation_hours,operation_finish_date
100000084384,Самосвалы Komatsu HD1500-7,71,1,Самосвал карьерный HD1500-7 №1,05-KAR-UTTR-K701,1413011120.0,E01_01,Самосвалы карьерные,100000084384,Самосвал карьерный HD1500-7 №1,E01_01,Самосвалы карьерные,Самосвал карьерный №1,05-KAR-UTTR-K158,first05-KAR-UTTR-K701,first05,5,KAR,05-KAR,UTTR,-,UTTR,K701,no_data,8/1/2012,2012-08-01,22.5,
100000084385,Самосвалы Komatsu HD1500-7,71,1,Самосвал карьерный HD1500-7 №2,05-KAR-UTTR-K705,1413011120.0,E01_01,Самосвалы карьерные,100000084385,Самосвал карьерный HD1500-7 №2,E01_01,Самосвалы карьерные,Самосвал карьерный №2,05-KAR-UTTR-K158,first05-KAR-UTTR-K705,first05,5,KAR,05-KAR,UTTR,-,UTTR,K705,no_data,8/1/2012,2012-08-01,22.5,
100000084386,Самосвалы Komatsu HD1500-7,71,1,Самосвал карьерный HD1500-7 №3,05-KAR-UTTR-K706,1413011120.0,E01_01,Самосвалы карьерные,100000084386,Самосвал карьерный HD1500-7 №3,E01_01,Самосвалы карьерные,Самосвал карьерный №3,05-KAR-UTTR-K158,first05-KAR-UTTR-K706,first05,5,KAR,05-KAR,UTTR,-,UTTR,K706,no_data,8/1/2012,2012-08-01,22.5,
100000084387,Самосвалы Komatsu HD1500-7,71,1,Самосвал карьерный HD1500-7 №4,05-KAR-UTTR-K707,1413011120.0,E01_01,Самосвалы карьерные,100000084387,Самосвал карьерный HD1500-7 №4,E01_01,Самосвалы карьерные,Самосвал карьерный №4,05-KAR-UTTR-K158,first05-KAR-UTTR-K707,first05,5,KAR,05-KAR,UTTR,-,UTTR,K707,no_data,8/1/2012,2012-08-01,22.5,
100000084388,Самосвалы Komatsu HD1500-7,71,1,Самосвал карьерный HD1500-7 №5,05-KAR-UTTR-K708,1413011120.0,E01_01,Самосвалы карьерные,100000084388,Самосвал карьерный HD1500-7 №5,E01_01,Самосвалы карьерные,Самосвал карьерный №5,05-KAR-UTTR-K158,first05-KAR-UTTR-K708,first05,5,KAR,05-KAR,UTTR,-,UTTR,K708,no_data,3/31/2013,2013-03-31,22.5,
100000084389,Самосвалы Komatsu HD1500-7,71,1,Самосвал карьерный HD1500-7 №6,05-KAR-UTTR-K709,1413011120.0,E01_01,Самосвалы карьерные,100000084389,Самосвал карьерный HD1500-7 №6,E01_01,Самосвалы карьерные,Самосвал карьерный №6,05-KAR-UTTR-K158,first05-KAR-UTTR-K709,first05,5,KAR,05-KAR,UTTR,-,UTTR,K709,no_data,3/31/2013,2013-03-31,22.5,
100000084390,Самосвалы Komatsu HD1500-7,71,1,Самосвал карьерный HD1500-7 №7,05-KAR-UTTR-K710,1413011120.0,E01_01,Самосвалы карьерные,100000084390,Самосвал карьерный HD1500-7 №7,E01_01,Самосвалы карьерные,Самосвал карьерный №7,05-KAR-UTTR-K158,first05-KAR-UTTR-K710,first05,5,KAR,05-KAR,UTTR,-,UTTR,K710,no_data,4/30/2013,2013-04-30,22.5,
100000084391,Самосвалы Komatsu HD1500-7,71,1,Самосвал карьерный HD1500-7 №8,05-KAR-UTTR-K711,1413011120.0,E01_01,Самосвалы карьерные,100000084391,Самосвал карьерный HD1500-7 №8,E01_01,Самосвалы карьерные,Самосвал карьерный №8,05-KAR-UTTR-K158,first05-KAR-UTTR-K711,first05,5,KAR,05-KAR,UTTR,-,UTTR,K711,no_data,4/30/2013,2013-04-30,22.5,
100000084392,Самосвалы Komatsu HD1500-7,71,1,Самосвал карьерный HD1500-7 №9,05-KAR-UTTR-K712,1413011120.0,E01_01,Самосвалы карьерные,100000084392,Самосвал карьерный HD1500-7 №9,E01_01,Самосвалы карьерные,Самосвал карьерный №9,05-KAR-UTTR-K158,first05-KAR-UTTR-K712,first05,5,KAR,05-KAR,UTTR,-,UTTR,K712,no_data,6/30/2013,2013-06-30,22.5,
100000084393,Самосвалы Komatsu HD1500-7,71,1,Самосвал карьерный HD1500-7 №10,05-KAR-UTTR-K702,1413011120.0,E01_01,Самосвалы карьерные,100000084393,Самосвал карьерный HD1500-7 №10,E01_01,Самосвалы карьерные,Самосвал карьерный №10,05-KAR-UTTR-K158,first05-KAR-UTTR-K702,first05,5,KAR,05-KAR,UTTR,-,UTTR,K702,no_data,6/30/2013,2013-06-30,22.5,
100000084394,Самосвалы Komatsu HD1500-7,71,1,Самосвал карьерный HD1500-7 №11,05-KAR-UTTR-K703,1413011120.0,E01_01,Самосвалы карьерные,100000084394,Самосвал карьерный HD1500-7 №11,E01_01,Самосвалы карьерные,Самосвал карьерный №11,05-KAR-UTTR-K158,first05-KAR-UTTR-K703,first05,5,KAR,05-KAR,UTTR,-,UTTR,K703,no_data,7/31/2013,2013-07-31,22.5,
100000084395,Самосвалы Komatsu HD1500-7,71,1,Самосвал карьерный HD1500-7 №12,05-KAR-UTTR-K704,1413011120.0,E01_01,Самосвалы карьерные,100000084395,Самосвал карьерный HD1500-7 №12,E01_01,Самосвалы карьерные,Самосвал карьерный №12,05-KAR-UTTR-K158,first05-KAR-UTTR-K704,first05,5,KAR,05-KAR,UTTR,-,UTTR,K704,no_data,8/31/2013,2013-08-31,22.5,
