maintanance_code_id,maintanance_code,maintanance_category_id,maintanance_name,upper_level_tehmesto_code,upper_level_tehmesto_description,interval_motohours,downtime_planned,pass_interval,source,go_interval
55.0,CAT785C_ЕТО,eto,ЕТО,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,24.0,0.33,not,H:\нормативы\Стратегия CAT785.xlsx,not
56.0,CAT785C_ТО-500,to500,ТО-500,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,500.0,4.5,1000;2000;3000;4000;5000;6000;7000;8000;9000;10000;11000;12000;13000;14000;15000;16000;17000;18000;19000;20000;21000;22000;23000;24000;25000;26000,H:\нормативы\Стратегия CAT785.xlsx,500;1500;2500;3500;4500;5500;6500;7500;8500;9500;10500;11500;12500;13500;14500;15500;16500;17500;18500;19500;20500;21500;22500;23500;24500;25500;26500
57.0,CAT785C_ТО-1000,to1000,ТО-1000,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,1000.0,5.9,2000;4000;6000;8000;10000;12000;14000;16000;18000;20000;22000;24000;26000,H:\нормативы\Стратегия CAT785.xlsx,1000;3000;5000;7000;9000;11000;13000;15000;17000;19000;21000;23000;25000
58.0,CAT785C_ТО-2000,to2000,ТО-2000,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,2000.0,6.7,4000;6000;8000;12000;16000;18000;20000;24000,H:\нормативы\Стратегия CAT785.xlsx,2000;10000;14000;22000;26000
59.0,CAT785C_ТО-4000,to4000,ТО-4000,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,4000.0,12.3,12000;24000,H:\нормативы\Стратегия CAT785.xlsx,4000;8000;16000;20000
60.0,CAT785C_ТО-6000,to6000,ТО-6000,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,6000.0,8.9,12000;24000,H:\нормативы\Стратегия CAT785.xlsx,6000;18000
61.0,CAT785C_ТО-12000,to12000,ТО-12000,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,12000.0,10.6,not,H:\нормативы\Стратегия CAT785.xlsx,not
62.0,CAT785C_ТО доп систем,to_suppl_systems,ТО доп систем,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,4000.0,10.0,not,H:\нормативы\Стратегия CAT785.xlsx,not
63.0,CAT785C_ТР,tr,ТР,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,250.0,14.0,not,H:\нормативы\Стратегия CAT785.xlsx,not
64.0,CAT785C_Трдоп.сист.,tr_suppl_systems,Трдоп.сист.,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,4000.0,10.0,not,H:\нормативы\Стратегия CAT785.xlsx,not
65.0,CAT785C_Трсред,tr_middle,Трсред,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,10000.0,282.0,not,H:\нормативы\Стратегия CAT785.xlsx,not
66.0,CAT785C_КР,overhaul_total,КР,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,20000.0,600.0,not,H:\нормативы\Стратегия CAT785.xlsx,not
