,maintanance_job_code,eo_code,interval_motohours,"dowtime_plan, hours",maintanance_datetime,maintanance_date,maintanance_name
0,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2021-12-31 00:00:00,2021-12-31,ЕТО
1,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2022-01-01 00:00:00,2022-01-01,ЕТО
2,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2022-01-02 00:00:00,2022-01-02,ЕТО
3,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2022-01-03 00:00:00,2022-01-03,ЕТО
4,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2022-01-04 00:00:00,2022-01-04,ЕТО
5,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2022-01-05 00:00:00,2022-01-05,ЕТО
6,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2022-01-06 00:00:00,2022-01-06,ЕТО
7,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2022-01-07 00:00:00,2022-01-07,ЕТО
8,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2022-01-08 00:00:00,2022-01-08,ЕТО
9,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2022-01-09 00:00:00,2022-01-09,ЕТО
10,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2022-01-10 00:00:00,2022-01-10,ЕТО
11,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2022-01-11 00:00:00,2022-01-11,ЕТО
12,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2022-01-12 00:00:00,2022-01-12,ЕТО
13,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2022-01-13 00:00:00,2022-01-13,ЕТО
14,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2022-01-14 00:00:00,2022-01-14,ЕТО
15,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2022-01-15 00:00:00,2022-01-15,ЕТО
16,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2022-01-16 00:00:00,2022-01-16,ЕТО
17,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2022-01-17 00:00:00,2022-01-17,ЕТО
18,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2022-01-18 00:00:00,2022-01-18,ЕТО
19,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2022-01-19 00:00:00,2022-01-19,ЕТО
20,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2022-01-20 00:00:00,2022-01-20,ЕТО
21,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2022-01-21 00:00:00,2022-01-21,ЕТО
22,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2022-01-22 00:00:00,2022-01-22,ЕТО
23,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2022-01-23 00:00:00,2022-01-23,ЕТО
24,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2022-01-24 00:00:00,2022-01-24,ЕТО
25,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2022-01-25 00:00:00,2022-01-25,ЕТО
26,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2022-01-26 00:00:00,2022-01-26,ЕТО
27,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2022-01-27 00:00:00,2022-01-27,ЕТО
28,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2022-01-28 00:00:00,2022-01-28,ЕТО
29,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2022-01-29 00:00:00,2022-01-29,ЕТО
30,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2022-01-30 00:00:00,2022-01-30,ЕТО
31,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2022-01-31 00:00:00,2022-01-31,ЕТО
32,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2022-02-01 00:00:00,2022-02-01,ЕТО
33,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2022-02-02 00:00:00,2022-02-02,ЕТО
34,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2022-02-03 00:00:00,2022-02-03,ЕТО
35,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2022-02-04 00:00:00,2022-02-04,ЕТО
36,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2022-02-05 00:00:00,2022-02-05,ЕТО
37,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2022-02-06 00:00:00,2022-02-06,ЕТО
38,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2022-02-07 00:00:00,2022-02-07,ЕТО
39,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2022-02-08 00:00:00,2022-02-08,ЕТО
40,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2022-02-09 00:00:00,2022-02-09,ЕТО
41,100000084384_HD1500-7_EO,100000084384,23.7,0.3,2022-02-10 00:00:00,2022-02-10,ЕТО
