,teh_mesto_month_year,level_upper,Название технического места,month_year,"dowtime_plan, hours"
0,11-RUD-CGTR-SEBT-C785_10_2023,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,10_2023,52.96
1,11-RUD-CGTR-SEBT-C785_11_2023,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,11_2023,44.2
2,11-RUD-CGTR-SEBT-C785_12_2023,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,12_2023,66.76
3,11-RUD-CGTR-SEBT-C785_1_2023,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,1_2023,38.96
4,11-RUD-CGTR-SEBT-C785_2_2023,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,2_2023,52.38
5,11-RUD-CGTR-SEBT-C785_3_2023,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,3_2023,45.66
6,11-RUD-CGTR-SEBT-C785_4_2023,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,4_2023,38.3
7,11-RUD-CGTR-SEBT-C785_5_2023,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,5_2023,54.36
8,11-RUD-CGTR-SEBT-C785_6_2023,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,6_2023,70.6
9,11-RUD-CGTR-SEBT-C785_7_2023,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,7_2023,52.96
10,11-RUD-CGTR-SEBT-C785_8_2023,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,8_2023,40.36
11,11-RUD-CGTR-SEBT-C785_9_2023,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,9_2023,47.2
