,Дата,Категория работ,"Запланированный простой, час","Межсервисная наработка, час",Наименование ЕО
0,01.01.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
1,02.01.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
2,03.01.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
3,04.01.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
4,05.01.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
5,06.01.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
6,07.01.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
7,08.01.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
8,09.01.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
9,10.01.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
10,11.01.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
11,12.01.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
12,13.01.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
13,14.01.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
14,15.01.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
15,16.01.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
16,17.01.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
17,18.01.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
18,19.01.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
19,20.01.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
20,21.01.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
21,22.01.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
22,23.01.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
23,24.01.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
24,25.01.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
25,26.01.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
26,27.01.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
27,28.01.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
28,29.01.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
29,30.01.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
30,31.01.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
31,01.02.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
32,02.02.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
33,03.02.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
34,04.02.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
35,05.02.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
36,06.02.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
37,07.02.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
38,08.02.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
39,09.02.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
40,10.02.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
41,11.02.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
42,12.02.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
43,13.02.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
44,14.02.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
45,15.02.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
46,16.02.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
47,17.02.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
48,18.02.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
49,19.02.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
50,20.02.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
51,21.02.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
52,22.02.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
53,23.02.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
54,24.02.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
55,25.02.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
56,26.02.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
57,27.02.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
58,28.02.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
59,01.03.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
60,02.03.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
61,03.03.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
62,04.03.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
63,05.03.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
64,06.03.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
65,07.03.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
66,08.03.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
67,09.03.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
68,10.03.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
69,11.03.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
70,12.03.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
71,13.03.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
72,14.03.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
73,15.03.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
74,16.03.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
75,17.03.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
76,18.03.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
77,19.03.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
78,20.03.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
79,21.03.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
80,22.03.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
81,23.03.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
82,24.03.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
83,25.03.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
84,26.03.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
85,27.03.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
86,28.03.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
87,29.03.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
88,30.03.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
89,31.03.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
90,01.04.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
91,02.04.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
92,03.04.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
93,04.04.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
