eo_code,valid_from,operation_start_date
100000010837,12/15/2019,1/1/2020
100000010967,1/20/2020,1/1/2014
100000010968,1/24/2020,1/1/2014
100000010984,12/24/2019,1/1/2018
100000010985,12/24/2019,1/1/2018
100000016378,10/3/2020,5/29/2019
100000017360,3/30/2021,7/20/2019
100000017361,3/30/2021,8/20/2019
100000017365,3/30/2021,8/23/2019
100000018023,10/15/2020,2/15/2021
100000018024,11/16/2020,9/2/2019
100000018025,11/4/2020,2/15/2021
100000018026,11/4/2020,2/15/2021
100000018027,11/4/2020,2/15/2021
100000018028,11/4/2020,2/15/2021
100000018029,11/4/2020,2/15/2021
100000018030,11/4/2020,2/15/2021
100000018031,11/4/2020,2/15/2021
100000018032,11/4/2020,2/15/2021
100000018097,2/28/2021,4/19/2019
100000018098,4/17/2021,10/23/2020
100000018100,11/16/2021,4/19/2019
100000018225,2/28/2021,2/10/2021
100000018504,11/17/2021,5/21/2019
100000018649,10/8/2020,1/1/2019
100000018650,10/8/2020,1/1/2019
100000019479,6/8/2020,1/1/2019
100000019480,6/8/2020,1/1/2019
100000019481,6/8/2020,1/1/2019
100000019482,6/8/2020,1/1/2019
100000019483,6/8/2020,1/1/2019
100000019484,6/8/2020,1/1/2019
100000019485,6/8/2020,1/1/2019
100000019486,6/8/2020,1/1/2019
100000019487,6/8/2020,1/1/2019
100000019488,6/8/2020,1/1/2019
100000019489,6/8/2020,1/1/2019
100000019493,1/1/2019,1/1/2019
100000019498,1/20/2020,11/1/2011
100000019506,9/22/2020,8/1/2019
100000019509,1/30/2020,1/1/2019
100000019510,1/30/2020,10/1/2019
100000019511,1/30/2020,10/1/2019
100000019512,1/30/2020,10/1/2019
100000019513,1/30/2020,10/1/2019
100000019514,1/30/2020,1/1/2019
100000019515,11/6/2020,1/1/2019
100000019516,11/6/2020,1/1/2019
100000019517,6/16/2020,1/1/2019
100000019518,6/16/2020,1/1/2019
100000019519,5/29/2020,1/1/2019
100000019520,11/6/2020,1/1/2019
100000019521,5/29/2020,1/1/2019
100000019522,6/16/2020,1/1/2019
100000019523,7/16/2021,1/1/2019
100000019524,11/6/2020,
100000019525,2/3/2021,
100000019526,12/24/2020,1/3/2020
100000019545,9/26/2020,1/1/2019
100000019547,9/26/2020,
100000019548,9/26/2020,1/1/2019
100000019549,9/26/2020,
100000019550,9/26/2020,
100000019551,9/26/2020,1/1/2019
100000019575,12/13/2020,1/29/2020
100000019586,1/30/2020,1/1/2019
100000019587,1/30/2020,
100000019588,8/7/2021,1/1/2019
100000019589,1/30/2020,
100000019590,1/30/2020,
100000019591,1/30/2020,
100000019592,1/30/2020,
100000019593,8/7/2021,1/4/2020
100000019594,4/18/2021,1/4/2020
100000019595,5/3/2021,1/22/2020
100000019596,11/6/2020,
100000019597,5/5/2021,1/22/2020
100000019598,4/28/2020,
100000019599,5/31/2021,1/17/2020
100000019600,1/14/2022,1/17/2020
100000019601,2/13/2020,1/7/2020
100000019602,12/1/2021,
100000019603,8/3/2021,
100000019604,7/10/2021,1/7/2020
100000019605,9/22/2021,1/12/2020
100000019606,1/30/2020,1/12/2020
100000019607,1/30/2020,
100000019608,9/9/2021,1/12/2020
100000019609,1/30/2020,
100000019610,1/30/2020,
100000019611,1/12/2020,1/12/2020
100000019612,1/30/2020,1/1/2019
100000019613,9/9/2021,1/8/2020
100000019614,1/10/2020,
100000019615,1/27/2020,1/27/2020
100000019624,7/27/2020,1/31/2020
100000019625,7/27/2020,1/31/2020
100000019626,6/26/2021,1/31/2020
100000019627,3/31/2021,1/31/2020
100000019628,6/26/2021,1/31/2020
100000019629,5/21/2021,1/31/2020
100000019630,7/27/2020,1/31/2020
100000019631,7/27/2020,1/31/2020
100000019632,2/4/2021,1/31/2020
100000019633,2/4/2021,1/31/2020
100000019634,11/29/2020,1/31/2020
100000019635,10/29/2020,1/31/2020
100000019636,10/13/2020,1/31/2020
100000019637,11/1/2020,1/31/2020
100000019638,4/30/2021,1/31/2020
100000019639,4/30/2021,1/31/2020
100000019640,7/27/2020,1/31/2020
100000019641,8/21/2020,1/31/2020
100000019642,7/2/2020,1/31/2020
100000019643,7/2/2020,1/31/2020
100000019644,9/11/2020,1/31/2020
100000019645,4/6/2021,1/31/2020
100000019646,6/1/2021,10/7/2020
100000019647,6/1/2021,10/7/2020
100000019648,10/10/2021,10/7/2020
100000019649,10/10/2021,10/7/2020
100000019650,11/26/2020,1/31/2020
100000019651,5/9/2021,2/1/2020
100000019652,12/23/2020,2/1/2020
100000019653,9/7/2021,2/1/2020
100000019654,12/23/2020,2/1/2020
100000019655,12/10/2020,2/1/2020
100000019656,11/28/2020,2/1/2020
100000019657,12/10/2020,2/1/2020
100000019658,9/8/2020,2/1/2020
100000019659,2/14/2021,2/1/2020
100000019660,2/14/2021,2/1/2020
100000019661,4/24/2021,2/1/2020
100000019662,4/24/2021,2/1/2020
100000019663,3/9/2021,2/1/2020
100000019664,4/24/2021,2/1/2020
100000019665,10/14/2021,2/1/2020
100000019666,8/4/2021,2/1/2020
100000019667,2/1/2020,2/1/2020
100000019668,2/1/2020,2/1/2020
100000019669,2/1/2020,2/1/2020
100000019670,2/1/2020,2/1/2020
100000019671,2/1/2020,2/1/2020
100000019672,3/30/2021,2/1/2020
100000019673,11/28/2021,2/1/2020
100000019674,9/26/2020,2/1/2020
